event_id,label,asset_id,event_start,event_end,description,n_train_rows,n_pred_rows
55,anomaly,50,2023-10-29 11:30:00,2023-11-15 15:30:00,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,48856,3193
81,anomaly,38,2023-11-16 01:30:00,2023-11-18 14:00:00,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",44510,1372
47,anomaly,21,2023-12-22 15:00:00,2023-12-27 13:40:00,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Analysis indicates a longer anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2024 which is neither confirmed nor refuted.",47881,1577
12,anomaly,2,2023-06-27 00:00:00,2023-07-19 15:00:00,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",12664,3547
4,anomaly,34,2023-07-31 10:00:00,2023-08-19 10:00:00,23020 : Axis 3 not ready-to-operate,46229,3889
18,anomaly,34,2023-09-13 00:00:00,2023-09-16 23:50:00,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,47202,1728
28,anomaly,52,2023-05-28 13:00:00,2023-06-17 20:30:00,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,45121,3358
39,anomaly,52,2023-10-19 13:00:00,2023-10-24 15:20:00,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,43432,1167
66,anomaly,12,2023-01-17 00:00:00,2023-01-23 13:00:00,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",46139,1807
15,anomaly,12,2023-02-06 00:00:00,2023-02-23 00:00:00,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),45179,2737
78,anomaly,15,2023-07-30 13:00:00,2023-08-01 14:30:00,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,46045,586
79,anomaly,16,2023-07-26 09:00:00,2023-07-28 09:00:00,Communication fault BK1120 in NC300,49566,721
30,anomaly,16,2023-12-15 00:00:00,2024-01-06 15:40:00,Pitch failure - defect fan on pitch motor,49561,3551
33,anomaly,43,2023-08-26 13:00:00,2023-09-15 13:00:00,P20_Blade3_Grease Collector missing,47480,3313
11,anomaly,43,2023-10-17 12:30:00,2023-11-08 10:30:00,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,41525,4021
44,anomaly,44,2023-08-03 14:00:00,2023-10-08 02:20:00,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,48952,10443
49,anomaly,33,2023-04-01 00:00:00,2023-04-05 03:30:00,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,46522,1606
31,anomaly,35,2023-01-18 00:00:00,2023-01-25 02:00:00,Communication and Pitchfailure - slip ring and Beckhoff card,48368,2029
67,anomaly,35,2023-02-02 00:00:00,2023-04-01 00:00:00,Turbine has some issues with overpressure on the main transformer,47362,8929
9,anomaly,55,2023-08-05 07:30:00,2023-08-26 09:30:00,PENDING19_PREV_YAW_Grease pump defective,48003,3469
